Sector,Year,Month,Month_Year,Avg_Volume_Millions
"FMCG & Consumer",2003,10,Oct-2003,0.75
"FMCG & Consumer",2003,11,Nov-2003,0.53
"FMCG & Consumer",2003,12,Dec-2003,0.82
"FMCG & Consumer",2003,2,Feb-2003,0.23
"FMCG & Consumer",2003,3,Mar-2003,0.24
"FMCG & Consumer",2003,4,Apr-2003,0.43
"FMCG & Consumer",2003,5,May-2003,0.39
"FMCG & Consumer",2003,6,Jun-2003,0.5
"FMCG & Consumer",2003,7,Jul-2003,0.52
"FMCG & Consumer",2003,8,Aug-2003,0.81
"FMCG & Consumer",2003,9,Sep-2003,0.62
"FMCG & Consumer",2004,1,Jan-2004,0.74
"FMCG & Consumer",2004,10,Oct-2004,0.46
"FMCG & Consumer",2004,11,Nov-2004,0.51
"FMCG & Consumer",2004,12,Dec-2004,0.5
"FMCG & Consumer",2004,2,Feb-2004,0.69
"FMCG & Consumer",2004,3,Mar-2004,0.87
"FMCG & Consumer",2004,4,Apr-2004,0.55
"FMCG & Consumer",2004,5,May-2004,0.58
"FMCG & Consumer",2004,6,Jun-2004,0.39
"FMCG & Consumer",2004,7,Jul-2004,0.56
"FMCG & Consumer",2004,8,Aug-2004,0.62
"FMCG & Consumer",2004,9,Sep-2004,0.61
"FMCG & Consumer",2005,1,Jan-2005,0.56
"FMCG & Consumer",2005,10,Oct-2005,2.58
"FMCG & Consumer",2005,11,Nov-2005,2.86
"FMCG & Consumer",2005,12,Dec-2005,2.51
"FMCG & Consumer",2005,2,Feb-2005,0.69
"FMCG & Consumer",2005,3,Mar-2005,0.62
"FMCG & Consumer",2005,4,Apr-2005,0.58
"FMCG & Consumer",2005,5,May-2005,0.67
"FMCG & Consumer",2005,6,Jun-2005,0.83
"FMCG & Consumer",2005,7,Jul-2005,1.02
"FMCG & Consumer",2005,8,Aug-2005,0.94
"FMCG & Consumer",2005,9,Sep-2005,1.74
"FMCG & Consumer",2006,1,Jan-2006,1.92
"FMCG & Consumer",2006,10,Oct-2006,1.61
"FMCG & Consumer",2006,11,Nov-2006,1.57
"FMCG & Consumer",2006,12,Dec-2006,1.55
"FMCG & Consumer",2006,2,Feb-2006,2.86
"FMCG & Consumer",2006,3,Mar-2006,2.32
"FMCG & Consumer",2006,4,Apr-2006,2.33
"FMCG & Consumer",2006,5,May-2006,2.36
"FMCG & Consumer",2006,6,Jun-2006,2.6
"FMCG & Consumer",2006,7,Jul-2006,1.98
"FMCG & Consumer",2006,8,Aug-2006,1.7
"FMCG & Consumer",2006,9,Sep-2006,1.47
"FMCG & Consumer",2007,1,Jan-2007,1.88
"FMCG & Consumer",2007,10,Oct-2007,1.84
"FMCG & Consumer",2007,11,Nov-2007,1.59
"FMCG & Consumer",2007,12,Dec-2007,1.54
"FMCG & Consumer",2007,2,Feb-2007,1.79
"FMCG & Consumer",2007,3,Mar-2007,2.64
